[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Re-optimizing dependencies because lockfile has changed
10:52:44 PM [vite] page reload js/nodes/image-node.js
10:52:44 PM [vite] page reload js/ui/floating-color-correction.js
10:52:44 PM [vite] page reload js/utils/config.js
10:52:44 PM [vite] page reload .scratch/test-color-balance-three-way.html
10:56:43 PM [vite] page reload js/nodes/image-node.js
10:57:37 PM [vite] page reload js/nodes/image-node.js
10:57:37 PM [vite] page reload js/nodes/image-node.js
10:57:43 PM [vite] page reload js/nodes/image-node.js
10:57:43 PM [vite] page reload js/nodes/image-node.js
10:57:51 PM [vite] page reload js/ui/floating-color-correction.js
10:57:58 PM [vite] page reload js/ui/floating-color-correction.js
10:58:01 PM [vite] page reload js/ui/floating-color-correction.js
10:58:05 PM [vite] page reload js/ui/floating-color-correction.js
11:00:08 PM [vite] page reload .scratch/test-color-balance-three-way.html
11:05:30 PM [vite] page reload .scratch/test-color-balance-v2.html
11:08:51 PM [vite] page reload .scratch/test-color-balance-with-preview.html
11:08:59 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:09:00 PM [vite] page reload .scratch/test-color-balance-with-preview.html
11:14:41 PM [vite] page reload .scratch/test-color-balance-improved.html
11:15:16 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:20:35 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:20:40 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:21:33 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:22:10 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:23:33 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:24:38 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:24:57 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:25:58 PM [vite] page reload .scratch/test-gradient-ring.html
11:27:11 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:29:15 PM [vite] page reload .scratch/test-color-balance-simple.html
11:29:32 PM [vite] Internal server error: Failed to parse source for import analysis because the content contains invalid JS syntax. If you are using JSX, make sure to name the file with the .jsx or .tsx extension.
  Plugin: vite:import-analysis
  File: /Users/marcsteinberg/Documents/Projects/ImageCanvas/js/ui/components/color-balance-wheel.js?v=4:1:1
  1  |  /**
     |  ^
  2  |   * Color Balance Wheel Component
  3  |   * Similar to DaVinci Resolve's color wheels for shadows, midtones, and highlights
      at TransformPluginContext._formatError (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49258:41)
      at TransformPluginContext.error (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49253:16)
      at TransformPluginContext.transform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:64243:14)
      at async PluginContainer.transform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49099:18)
      at async loadAndTransform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:51977:27)
      at async viteTransformMiddleware (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:62105:24)
11:29:35 PM [vite] Internal server error: Failed to parse source for import analysis because the content contains invalid JS syntax. If you are using JSX, make sure to name the file with the .jsx or .tsx extension.
  Plugin: vite:import-analysis
  File: /Users/marcsteinberg/Documents/Projects/ImageCanvas/js/ui/components/color-balance-wheel.js?v=4:1:1
  1  |  /**
     |  ^
  2  |   * Color Balance Wheel Component
  3  |   * Similar to DaVinci Resolve's color wheels for shadows, midtones, and highlights
      at TransformPluginContext._formatError (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49258:41)
      at TransformPluginContext.error (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49253:16)
      at TransformPluginContext.transform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:64243:14)
      at async PluginContainer.transform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:49099:18)
      at async loadAndTransform (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:51977:27)
      at async viteTransformMiddleware (file:///Users/marcsteinberg/Documents/Projects/ImageCanvas/node_modules/vite/dist/node/chunks/dep-C6uTJdX2.js:62105:24)
11:29:53 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:29:57 PM [vite] page reload js/ui/components/color-balance-wheel.js
11:36:42 PM [vite] page reload .scratch/test-color-balance-simple.html
11:40:45 PM [vite] page reload .scratch/test-color-balance-simple.html
11:40:51 PM [vite] page reload .scratch/test-color-balance-simple.html
11:41:33 PM [vite] page reload .scratch/test-color-balance-simple.html
11:44:15 PM [vite] page reload .scratch/test-color-balance-simple.html
11:44:25 PM [vite] page reload .scratch/test-color-balance-simple.html
11:44:34 PM [vite] page reload .scratch/test-color-balance-simple.html
11:45:31 PM [vite] page reload .scratch/test-color-balance-simple.html
11:45:38 PM [vite] page reload .scratch/test-color-balance-simple.html
11:47:06 PM [vite] page reload .scratch/test-color-balance-simple.html
11:47:53 PM [vite] page reload .scratch/test-color-balance-simple.html
11:49:35 PM [vite] page reload .scratch/test-color-balance-simple.html
11:49:47 PM [vite] page reload .scratch/test-color-balance-simple.html
11:50:41 PM [vite] page reload .scratch/test-color-balance-improved.html
11:50:53 PM [vite] page reload .scratch/test-color-balance-improved.html
11:51:06 PM [vite] page reload .scratch/test-color-balance-improved.html
11:52:22 PM [vite] page reload .scratch/test-color-balance-improved.html
11:55:27 PM [vite] page reload .scratch/test-color-balance-improved.html
11:55:45 PM [vite] page reload .scratch/test-color-balance-improved.html
11:59:42 PM [vite] page reload .scratch/test-color-balance-improved.html
11:59:47 PM [vite] page reload .scratch/test-color-balance-improved.html
11:59:59 PM [vite] page reload .scratch/test-color-balance-improved.html
12:00:12 AM [vite] page reload .scratch/test-color-balance-improved.html
12:00:16 AM [vite] page reload .scratch/test-color-balance-improved.html
12:01:33 AM [vite] page reload .scratch/test-color-balance-improved.html
12:01:54 AM [vite] page reload .scratch/test-color-balance-improved.html
12:02:11 AM [vite] page reload .scratch/test-color-balance-improved.html
12:05:25 AM [vite] page reload .scratch/test-color-balance-improved.html
12:05:35 AM [vite] page reload .scratch/test-color-balance-improved.html
12:10:32 AM [vite] page reload .scratch/test-color-balance-improved.html
12:11:00 AM [vite] page reload .scratch/test-color-balance-improved.html
12:12:27 AM [vite] page reload .scratch/test-color-balance-simple.html
12:13:16 AM [vite] page reload .scratch/test-color-balance-improved.html
12:13:26 AM [vite] page reload .scratch/test-color-balance-improved.html
12:13:34 AM [vite] page reload .scratch/test-color-balance-simple.html
12:13:43 AM [vite] page reload .scratch/test-color-balance-improved.html
12:13:47 AM [vite] page reload .scratch/test-color-balance-improved.html
12:14:08 AM [vite] page reload .scratch/test-color-balance-improved.html
12:14:17 AM [vite] page reload .scratch/test-color-balance-improved.html
12:14:25 AM [vite] page reload .scratch/test-color-balance-simple.html
12:17:50 AM [vite] page reload .scratch/test-color-balance-improved.html
12:19:35 AM [vite] page reload .scratch/test-color-balance-improved.html
12:23:45 AM [vite] page reload .scratch/test-color-balance-improved.html
12:23:46 AM [vite] page reload .scratch/test-color-balance-improved.html
12:23:51 AM [vite] page reload .scratch/test-color-balance-improved.html
12:23:54 AM [vite] page reload .scratch/test-color-balance-improved.html
